data;cardiopatia;diabetes;pneumopatia;temperatura;umidade;pm25;mm_pm25;pm10;mm_pm10;mm_card
01/03/2020;10;6;6;22,9;55;6,78;8,64;12,92;16,48;10
02/03/2020;5;1;1;24,2;54;8,22;8,16;12,69;15,11;5
03/03/2020;5;1;1;23;52;5,63;7,64;12,83;14,4;5
04/03/2020;3;2;2;25,6;44;9,22;7,96;19;15,13;3
05/03/2020;3;3;3;25,5;35;9,75;8,24;21,27;16,06;3
06/03/2020;6;3;3;25,5;37;11,13;8,48;23,25;16,69;6
07/03/2020;3;1;1;26,7;40;10,89;8,8;26,44;18,34;5
08/03/2020;5;1;1;27,1;49;11;9,4;27,13;20,37;4
09/03/2020;16;5;5;28,3;37;13,33;10,13;26,94;22,41;6
10/03/2020;16;16;16;29,9;36;15,11;11,49;29,19;24,74;7
11/03/2020;22;9;9;29,2;37;15,56;12,39;30,27;26,35;10
12/03/2020;22;14;14;29,8;36;16,63;13,38;30,46;27,67;13
13/03/2020;32;20;20;30,9;35;20,5;14,72;37,93;29,76;17
14/03/2020;29;21;21;31,7;32;20,38;16,07;35;30,99;20
15/03/2020;35;16;16;32;41;13,56;16,44;31;31,54;25
16/03/2020;43;37;37;31,4;45;10,67;16,06;25,5;31,33;28
17/03/2020;43;31;31;29,8;48;10,56;15,4;22,08;30,32;32
18/03/2020;55;38;38;32,2;44;15,88;15,45;24,79;29,54;37
19/03/2020;30;33;33;29,4;49;17,75;15,61;28,57;29,27;38
20/03/2020;76;52;52;27,8;68;8,57;13,91;22,13;27,01;44
21/03/2020;54;28;28;23,5;64;7,17;12,02;16,86;24,42;48
22/03/2020;58;43;43;25,4;38;8,17;11,25;16,36;22,33;51
23/03/2020;75;60;60;25,8;34;6,13;10,6;18,36;21,31;56
24/03/2020;79;65;65;24,8;34;7,33;10,14;18,6;20,81;61
25/03/2020;77;49;49;25,7;29;8,44;9,08;19,93;20,12;64
26/03/2020;79;49;49;27,7;33;11,33;8,16;23,83;19,44;71
27/03/2020;52;37;37;27,8;31;12,3;8,7;25,31;19,89;68
28/03/2020;78;54;54;28,8;42;14,22;9,7;22,15;20,65;71
29/03/2020;58;37;37;28,3;66;12,33;10,3;23,46;21,66;71
30/03/2020;84;54;54;28,3;52;12,5;11,21;21,92;22,17;72
31/03/2020;65;55;55;28,2;48;14,33;12,21;23,77;22,91;70
01/04/2020;105;58;58;28,6;41;12,56;12,8;24;23,49;74
02/04/2020;65;42;42;30,6;41;12,11;12,91;29,13;24,25;72
03/04/2020;62;38;38;28,4;51;13,44;13,07;28,71;24,74;74
04/04/2020;72;41;41;27,4;32;11,67;12,71;25,67;25,24;73
05/04/2020;90;51;51;28,8;34;12,78;12,77;27,33;25,79;78
06/04/2020;85;58;58;30,7;37;19,89;13,83;31,67;27,18;78
07/04/2020;68;41;41;24,2;57;13,88;13,76;26,27;27,54;78
08/04/2020;76;48;48;20,6;55;7,22;13;17,27;26,58;74
09/04/2020;80;59;59;23,7;44;8,13;12,43;21,54;25,49;76
10/04/2020;128;82;82;24,6;44;9,75;11,9;24,62;24,91;86
11/04/2020;65;56;56;22,9;43;9,75;11,63;23;24,53;85
12/04/2020;92;61;61;23,5;45;9,13;11,11;20,54;23,56;85
13/04/2020;83;62;62;26;39;14,5;10,34;26,23;22,78;85
14/04/2020;95;63;63;23,1;74;15,38;10,55;30,47;23,38;88
15/04/2020;117;81;81;25;50;15,11;11,68;28,29;24,95;94
16/04/2020;107;62;62;26,7;42;18;13,09;27,47;25,8;98
17/04/2020;112;93;93;21,1;41;12,56;13,49;25,07;25,86;96
18/04/2020;126;73;73;24,1;46;9;13,38;21,27;25,62;105
19/04/2020;107;71;71;24,6;42;7,33;13,13;21,2;25,71;107
20/04/2020;159;97;97;25,6;35;8,75;12,3;23,73;25,36;118
21/04/2020;107;60;60;27,1;35;12,13;11,84;28,13;25,02;119
22/04/2020;118;87;87;25,1;33;15,5;11,89;32,14;25,57;119
23/04/2020;124;71;71;26;33;14,13;11,34;29,93;25,93;122
24/04/2020;134;73;73;27,2;41;17;11,98;30,53;26,71;125
25/04/2020;145;91;91;29;33;20,13;13,57;34,8;28,64;128
26/04/2020;117;68;68;28,5;30;26,17;16,26;41,8;31,58;129
27/04/2020;145;84;84;25,6;26;16,43;17,35;35,33;33,24;127
28/04/2020;116;95;95;26,3;32;12,71;17,44;30;33,51;128
29/04/2020;116;84;84;27,3;33;19,57;18,02;38,07;34,35;128
